project_id,g_code,s_code,description,month,year,boq,bg_overhead,bg_material,bg_labour,bg_subc,total_budget,ac_overhead,ac_material,ac_labour,ac_subc,total_actual,bg_balance,pg_submit,pg_certificate,pg_submit_bal,progress_percentage,cpi,spi,budget_utilization_pct,progress_cost_ratio,quarter,is_year_end,risk_overrun,risk_progress_lag
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,1,2024,9904508.25,1607617.93,4978324.69,2509207.51,1879374.45,10974524.59,1873144.4,5903419.5,2333737.03,1801212.16,11911513.1,-936988.51,10083479.13,9682175.55,401303.58,56.12,0.9213375746528794,6.737094837935174,108.5378505676117,0.5170546468951959,1,0,1,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,2,2024,13792982.38,1655842.63,5491981.3,3369363.53,3005219.13,13522406.6,1308125.01,4172188.58,2220141.82,1823855.97,9524311.39,3998095.21,9442808.18,8816367.13,626441.05,9.27,1.419777876456011,0.556422569027611,70.43355278194342,0.13161340914747222,1,0,0,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,3,2024,2474692.98,307366.55,1118426.46,535921.65,513884.84,2475599.5,278409.44,720648.4,380927.53,418697.27,1798682.63,676916.87,1757475.44,1645284.37,112191.08,19.23,1.3763403608339733,0.7695078031212484,72.65644665059916,0.26467025138837313,1,0,0,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,4,2024,1773272.29,241386.21,929485.06,450678.65,375485.56,1997035.48,167293.06,745336.91,324253.08,270764.39,1507647.45,489388.03,1269290.51,1176248.7,93041.81,93.67,1.3246037593205229,2.811224489795918,75.49427464353312,1.2407563413555338,2,0,0,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,5,2024,9836865.98,1564153.28,5383034.69,2665090.94,2329640.26,11941919.17,1577664.83,4989236.55,2039582.15,1866935.46,10473418.98,1468500.19,9988109.19,9045169.7,942939.49,82.18,1.1402121115181434,1.9731092436974793,87.70297998927086,0.9370263132456103,2,0,0,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,6,2024,13435580.25,1644840.87,6108631.52,4269110.49,3447260.35,15469843.24,1552842.79,5202730.64,4423600.22,3013517.88,14192691.53,1277151.71,12106025.72,11193991.04,912034.68,56.14,1.0899865756470788,1.123249299719888,91.7442491808986,0.6119184635682702,2,0,0,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,7,2024,5942419.39,656657.25,2478807.61,1277384.68,1350571.76,5763421.3,512828.44,2139483.44,1144659.74,910648.78,4707620.39,1055800.91,3916723.22,3791576.56,125146.67,59.64,1.2242748612956875,1.0228091236494599,81.68100412857203,0.7301575272767481,3,0,0,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,8,2024,7102297.37,1116852.78,3376601.49,2215035.19,1760037.76,8468527.22,859193.63,2560369.56,1588938.16,1128108.81,6136610.17,2331917.05,5695954.67,5189898.82,506055.85,43.48,1.3800008449941998,0.6524609843937574,72.46372374534327,0.6000243674034782,3,0,0,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,9,2024,6900955.75,1172162.78,4064692.83,2559455.41,1948051.61,9744362.63,992174.51,4288088.69,2922659.15,1963028.78,10165951.13,-421588.5,8537185.01,8002683.68,534501.33,16.15,0.9585293599576845,0.21541950113378683,104.32648615417959,0.15480249163316603,3,0,1,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,10,2024,16439491.28,2052165.55,6467580.39,3499772.0,2266799.24,14286317.18,2249086.03,6664260.87,2877293.43,1864801.52,13655441.85,630875.33,12473855.43,11324710.29,1149145.14,73.19,1.046199554502149,0.8786314525810324,95.58405905418937,0.7657134539401227,4,0,0,0
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,11,2024,12159187.71,2027744.83,7001295.77,3126734.34,2901807.94,15057582.88,1892081.73,8284682.39,3121164.41,2644001.46,15941929.99,-884347.11,14473028.09,14082156.57,390871.52,20.12,0.9445269731735912,0.21957874058714397,105.87310139381414,0.19003882700252658,4,0,1,1
PRJ001,G001,,งานเตรียมพื้นที่และรื้อถอน,12,2024,5978030.68,832194.55,2724523.33,1806381.58,1215723.37,6578822.83,583144.79,1869392.91,1566222.39,1068339.47,5087099.55,1491723.27,4076995.75,3957882.62,119113.12,5.89,1.2932365025174317,0.0589235694277711,77.32537691701297,0.07617162999827672,4,1,0,1
PRJ001,G002,,งานขุดดินและฐานราก,1,2024,2476334.8,304663.98,867413.81,476871.57,462163.4,2111112.75,215301.17,843888.53,406336.04,378735.88,1844261.63,266851.12,1764818.01,1730844.73,33973.28,19.04,1.1446926594682774,2.2857142857142856,87.35969360234313,0.21794948236276,1,0,0,1
PRJ001,G002,,งานขุดดินและฐานราก,2,2024,2793239.04,309146.23,1158456.47,752109.11,408160.94,2627872.76,357351.06,1042768.41,896336.32,499336.31,2795792.09,-167919.34,2297732.37,2111981.41,185750.97,53.63,0.9399385488639822,3.219087635054022,106.38993381095057,0.5040890437557537,1,0,1,1
